Year,Total fertility rate
1934,2.11
1935,2.12
1936,2.18
1937,2.21
1938,2.21
1939,2.22
1940,2.26
1941,2.36
1942,2.38
1943,2.57
1944,2.63
1945,2.74
1946,2.99
1947,3.08
1948,2.99
1949,2.99
1950,3.07
1951,3.06
1952,3.18
1953,3.19
1954,3.19
1955,3.28
1956,3.33
1957,3.42
1958,3.42
1959,3.44
1960,3.45
1961,3.55
1962,3.43
1963,3.34
1964,3.15
1965,2.97
1966,2.89
1967,2.85
1968,2.89
1969,2.89
1970,2.86
1971,2.95
1972,2.74
1973,2.49
1974,2.32
1975,2.15
1976,2.06
1977,2.01
1978,1.95
1979,1.91
1980,1.89
1981,1.94
1982,1.93
1983,1.92
1984,1.84
1985,1.92
1986,1.87
1987,1.85
1988,1.83
1989,1.84
1990,1.9
1991,1.85
1992,1.89
1993,1.86
1994,1.85
1995,1.83
1996,1.81
1997,1.79
1998,1.77
1999,1.77
2000,1.77
2001,1.74
2002,1.77
2003,1.77
2004,1.78
2005,1.85
2006,1.88
2007,1.99
2008,2.02
2009,1.97
2010,1.95
2011,1.92
2012,1.93
2013,1.88
2014,1.8
2015,1.8
2016,1.79
2017,1.74
2018,1.75
2019,1.67
2020,1.59
2021,1.7
2022,1.63
