State/Territory,Year,Births,,,,,,,,,,,,,,,,
NSW,2011,99054,,,,,,,,,,,,,,,,
NSW,2012,98508,,,,,,,,,,,,,,,,
NSW,2013,100462,,,,,,,,,,,,,,,,
NSW,2014,91074,,,,,,,,,,,,,,,,
NSW,2015,100079,,,,,,,,,,,,,,,,
NSW,2016,96083,,,,,,,,,,,,,,,,
NSW,2017,96591,,,,,,,,,,,,,,,,
NSW,2018,107343,,,,,,,,,,,,,,,,
NSW,2019,98906,,,,,,,,,,,,,,,,
NSW,2020,95459,,,,,,,,,,,,,,,,
NSW,2021,101332,,,,,,,,,,,,,,,,
NSW,2022,97884,,,,,,,,,,,,,,,,
VIC,2011,71444,,,,,,,,,,,,,,,,
VIC,2012,77405,,,,,,,,,,,,,,,,
VIC,2013,73969,,,,,,,,,,,,,,,,
VIC,2014,74224,,,,,,,,,,,,,,,,
VIC,2015,73568,,,,,,,,,,,,,,,,
VIC,2016,82892,,,,,,,,,,,,,,,,
VIC,2017,82094,,,,,,,,,,,,,,,,
VIC,2018,78488,,,,,,,,,,,,,,,,
VIC,2019,77220,,,,,,,,,,,,,,,,
VIC,2020,73543,,,,,,,,,,,,,,,,
VIC,2021,75363,,,,,,,,,,,,,,,,
VIC,2022,75189,,,,,,,,,,,,,,,,
QLD,2011,63253,,,,,,,,,,,,,,,,
QLD,2012,63837,,,,,,,,,,,,,,,,
QLD,2013,63354,,,,,,,,,,,,,,,,
QLD,2014,63066,,,,,,,,,,,,,,,,
QLD,2015,61745,,,,,,,,,,,,,,,,
QLD,2016,61841,,,,,,,,,,,,,,,,
QLD,2017,61158,,,,,,,,,,,,,,,,
QLD,2018,61931,,,,,,,,,,,,,,,,
QLD,2019,61735,,,,,,,,,,,,,,,,
QLD,2020,59490,,,,,,,,,,,,,,,,
QLD,2021,64111,,,,,,,,,,,,,,,,
QLD,2022,62094,,,,,,,,,,,,,,,,
SA,2011,19892,,,,,,,,,,,,,,,,
SA,2012,20433,,,,,,,,,,,,,,,,
SA,2013,20090,,,,,,,,,,,,,,,,
SA,2014,20384,,,,,,,,,,,,,,,,
SA,2015,19587,,,,,,,,,,,,,,,,
SA,2016,19772,,,,,,,,,,,,,,,,
SA,2017,19072,,,,,,,,,,,,,,,,
SA,2018,19113,,,,,,,,,,,,,,,,
SA,2019,19490,,,,,,,,,,,,,,,,
SA,2020,18526,,,,,,,,,,,,,,,,
SA,2021,19757,,,,,,,,,,,,,,,,
SA,2022,19449,,,,,,,,,,,,,,,,
WA,2011,32259,,,,,,,,,,,,,,,,
WA,2012,33627,,,,,,,,,,,,,,,,
WA,2013,34516,,,,,,,,,,,,,,,,
WA,2014,35403,,,,,,,,,,,,,,,,
WA,2015,35135,,,,,,,,,,,,,,,,
WA,2016,35429,,,,,,,,,,,,,,,,
WA,2017,34498,,,,,,,,,,,,,,,,
WA,2018,33257,,,,,,,,,,,,,,,,
WA,2019,33539,,,,,,,,,,,,,,,,
WA,2020,32426,,,,,,,,,,,,,,,,
WA,2021,34039,,,,,,,,,,,,,,,,
WA,2022,31460,,,,,,,,,,,,,,,,
TAS,2011,6608,,,,,,,,,,,,,,,,
TAS,2012,6168,,,,,,,,,,,,,,,,
TAS,2013,6049,,,,,,,,,,,,,,,,
TAS,2014,5935,,,,,,,,,,,,,,,,
TAS,2015,5680,,,,,,,,,,,,,,,,
TAS,2016,5968,,,,,,,,,,,,,,,,
TAS,2017,5610,,,,,,,,,,,,,,,,
TAS,2018,5547,,,,,,,,,,,,,,,,
TAS,2019,5741,,,,,,,,,,,,,,,,
TAS,2020,5780,,,,,,,,,,,,,,,,
TAS,2021,6034,,,,,,,,,,,,,,,,
TAS,2022,5506,,,,,,,,,,,,,,,,
NT,2011,3954,,,,,,,,,,,,,,,,
NT,2012,4104,,,,,,,,,,,,,,,,
NT,2013,4053,,,,,,,,,,,,,,,,
NT,2014,4026,,,,,,,,,,,,,,,,
NT,2015,4004,,,,,,,,,,,,,,,,
NT,2016,3927,,,,,,,,,,,,,,,,
NT,2017,3882,,,,,,,,,,,,,,,,
NT,2018,4050,,,,,,,,,,,,,,,,
NT,2019,3658,,,,,,,,,,,,,,,,
NT,2020,3752,,,,,,,,,,,,,,,,
NT,2021,3784,,,,,,,,,,,,,,,,
NT,2022,3614,,,,,,,,,,,,,,,,
ACT,2011,5121,,,,,,,,,,,,,,,,
ACT,2012,5461,,,,,,,,,,,,,,,,
ACT,2013,5545,,,,,,,,,,,,,,,,
ACT,2014,5552,,,,,,,,,,,,,,,,
ACT,2015,5542,,,,,,,,,,,,,,,,
ACT,2016,5152,,,,,,,,,,,,,,,,
ACT,2017,6207,,,,,,,,,,,,,,,,
ACT,2018,5374,,,,,,,,,,,,,,,,
ACT,2019,5520,,,,,,,,,,,,,,,,
ACT,2020,5368,,,,,,,,,,,,,,,,
ACT,2021,5543,,,,,,,,,,,,,,,,
ACT,2022,5455,,,,,,,,,,,,,,,,
